iter	Logloss
0	0.6894421022
1	0.6860162856
2	0.6829118758
3	0.6799154016
4	0.677211412
5	0.6746308037
6	0.6722222523
7	0.6699782504
8	0.6678965212
9	0.6658854977
10	0.6640301009
11	0.6622430099
12	0.6606487138
13	0.6590656175
14	0.6576125484
15	0.6561709867
16	0.6548382221
17	0.6535157342
18	0.6522424758
19	0.6509666328
20	0.6498215555
21	0.6487070621
22	0.6476462287
23	0.6466137023
24	0.6455433923
25	0.644584587
26	0.6435801214
27	0.6426089473
28	0.641693587
29	0.6408216717
30	0.6399045268
31	0.6390511341
32	0.6382526323
33	0.6374127162
34	0.6366006147
35	0.6358730648
36	0.6350965931
37	0.6343851659
38	0.6337141683
39	0.6329661267
40	0.6322914985
41	0.6316227778
42	0.6309294424
43	0.6302527834
44	0.6296175388
45	0.6290162625
46	0.6283952944
47	0.627756296
48	0.6271894803
49	0.6265328823
50	0.6259911737
51	0.6253896512
52	0.6247680062
53	0.6242201438
54	0.6236567126
55	0.6231274344
56	0.6226500932
57	0.6220742932
58	0.6215155388
59	0.6210597355
60	0.6205276266
61	0.6200648697
62	0.6194695009
63	0.6189615144
64	0.6184605431
65	0.6179502797
66	0.617467831
67	0.6170338733
68	0.6164772727
69	0.6160279924
70	0.6156022191
71	0.6150334342
72	0.61461123
73	0.6142241634
74	0.613815805
75	0.6134315691
76	0.6130293644
77	0.612641067
78	0.6122578157
79	0.6118831179
80	0.6114230071
81	0.6110166179
82	0.6106371818
83	0.6101644559
84	0.6098027425
85	0.6094584439
86	0.6091116224
87	0.6087814773
88	0.6084245022
89	0.6080758345
90	0.607759166
91	0.6074120368
92	0.6070990605
93	0.6067885457
94	0.606358834
95	0.6060006282
96	0.6057034668
97	0.6054056286
98	0.6050155467
99	0.6046948783
100	0.6043913171
101	0.6040789562
102	0.6037487496
103	0.6033629752
104	0.6030794751
105	0.6027996056
106	0.6025163516
107	0.6022449742
108	0.6019065832
109	0.6016084988
110	0.6013419212
111	0.6010763283
112	0.600756583
113	0.6004757904
114	0.6001865058
115	0.5999365432
116	0.5996683042
117	0.5993784042
118	0.5991158881
119	0.5988471568
120	0.5984978122
121	0.5981860667
122	0.5979493961
123	0.5976070667
124	0.5973655962
125	0.5971364946
126	0.5968754554
127	0.5966563227
128	0.5963810685
129	0.5961511669
130	0.5959224961
131	0.5956976405
132	0.5954358629
133	0.5951500243
134	0.5949276302
135	0.5946921903
136	0.5944569966
137	0.5942333102
138	0.5939687634
139	0.5937724609
140	0.5935746816
141	0.5933279804
142	0.5931066325
143	0.5929054686
144	0.592646337
145	0.5924411733
146	0.59224684
147	0.5920360763
148	0.5917218693
149	0.5915060597
150	0.5913013882
151	0.5911135162
152	0.5908853992
153	0.590676974
154	0.5904609797
155	0.5902778462
156	0.5900848667
157	0.5898376117
158	0.5895589114
159	0.5893674088
160	0.5891701833
161	0.5888941906
162	0.58871518
163	0.5884954935
164	0.5883129753
165	0.5881242419
