iter	Passed	Remaining
0	31	47320
1	60	45536
2	90	45405
3	122	45961
4	152	45698
5	182	45520
6	213	45493
7	242	45166
8	274	45408
9	303	45287
10	335	45359
11	362	44961
12	390	44715
13	420	44680
14	449	44508
15	479	44497
16	509	44483
17	541	44575
18	569	44395
19	597	44223
20	625	44042
21	655	44027
22	681	43788
23	709	43656
24	737	43504
25	766	43481
26	795	43396
27	822	43232
28	851	43215
29	880	43132
30	906	42945
31	933	42803
32	960	42679
33	986	42536
34	1017	42568
35	1042	42409
36	1072	42405
37	1102	42411
38	1128	42278
39	1155	42184
40	1185	42186
41	1213	42122
42	1240	42040
43	1268	41986
44	1298	41985
45	1325	41899
46	1353	41858
47	1383	41852
48	1411	41783
49	1440	41762
50	1472	41823
51	1500	41787
52	1532	41833
53	1562	41835
54	1591	41822
55	1620	41778
56	1647	41704
57	1676	41679
58	1705	41660
59	1733	41595
60	1772	41807
61	1799	41743
62	1833	41811
63	1860	41752
64	1890	41744
65	1919	41702
66	1947	41659
67	1979	41694
68	2010	41693
69	2041	41698
70	2068	41623
71	2099	41634
72	2127	41589
73	2154	41510
74	2182	41468
75	2215	41509
76	2245	41496
77	2273	41442
78	2304	41459
79	2333	41413
80	2364	41417
81	2393	41392
82	2427	41441
83	2456	41412
84	2490	41462
85	2518	41412
86	2547	41375
87	2575	41317
88	2603	41271
89	2632	41245
90	2662	41229
91	2690	41175
92	2718	41133
93	2752	41166
94	2783	41171
95	2814	41166
96	2846	41164
97	2874	41121
98	2906	41125
99	2937	41130
100	2966	41087
101	3000	41127
102	3029	41085
103	3060	41079
104	3089	41046
105	3115	40978
106	3147	40973
107	3175	40925
108	3204	40899
109	3237	40914
110	3268	40900
111	3306	40976
112	3345	41065
113	3375	41044
114	3404	41005
115	3431	40942
116	3460	40910
117	3489	40871
118	3516	40807
119	3544	40766
120	3574	40738
121	3603	40697
122	3630	40647
123	3662	40646
124	3688	40578
125	3714	40508
126	3742	40465
127	3771	40429
128	3803	40426
129	3832	40386
130	3860	40343
131	3887	40292
132	3919	40289
133	3950	40267
134	3990	40345
135	4020	40319
136	4049	40283
137	4079	40266
138	4110	40244
139	4138	40207
140	4168	40178
141	4198	40153
142	4228	40122
143	4259	40107
144	4293	40118
145	4324	40105
146	4354	40077
147	4382	40038
148	4414	40028
149	4442	39985
150	4474	39973
151	4505	39958
152	4544	40011
153	4576	40000
154	4617	40072
155	4648	40051
156	4678	40022
157	4714	40047
158	4746	40029
159	4776	40004
160	4807	39980
161	4840	39974
162	4871	39954
163	4903	39944
164	4935	39931
165	4966	39914
166	4996	39881
167	5026	39855
168	5058	39838
169	5088	39810
170	5117	39769
171	5145	39724
172	5172	39676
173	5203	39655
174	5233	39626
175	5266	39616
176	5300	39621
177	5335	39625
178	5368	39616
179	5398	39586
180	5428	39561
181	5460	39543
182	5490	39513
183	5523	39505
184	5553	39476
185	5589	39487
186	5619	39454
187	5650	39430
188	5678	39390
189	5708	39357
190	5739	39335
191	5768	39298
192	5799	39271
193	5833	39270
194	5863	39242
195	5893	39210
196	5923	39176
197	5951	39138
198	5981	39102
199	6012	39084
200	6047	39084
201	6078	39058
202	6112	39054
203	6141	39016
204	6173	39000
205	6203	38970
206	6234	38940
207	6264	38910
208	6294	38883
209	6325	38859
