iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
0	1.719969149	0.227463676	0.4866588982	0.4270028928	0.1255284979	0.002637362637	0
1	1.664789117	0.1152334826	0.5104714159	0.4257633478	0.1235697941	0.01286127168	0
2	1.620930865	0.1534452297	0.5130344108	0.4266644571	0.1286507441	0.0005877599001	0
3	1.585454017	0.1453503983	0.5155340588	0.4285702449	0.1292190276	0.0008818990226	0
4	1.556024885	0.1540992353	0.5167025252	0.4317101502	0.1162900506	0.02240896359	0
5	1.531803589	0.166022827	0.5175512063	0.4333803834	0.1141676265	0.02451788659	0
6	1.511395367	0.1616856211	0.5214125196	0.4308096413	0.1200536553	0.019180848	0
7	1.49353821	0.1647814797	0.5225975994	0.4303982215	0.1195495041	0.0315924292	0
8	1.477875721	0.17033954	0.5232201839	0.4327562129	0.118646353	0.0342280926	0
9	1.464959301	0.1713357337	0.5243759611	0.4333487414	0.1197532113	0.04013283403	0
10	1.454008038	0.1840097121	0.5252451467	0.4325019024	0.1167982114	0.04969900602	0
11	1.443847035	0.1882098899	0.5260499798	0.4332210808	0.1226725818	0.05391098419	0
12	1.435365295	0.1933488012	0.5268584046	0.4338245912	0.1232265638	0.05497181825	0
13	1.42782248	0.198156682	0.5272649137	0.435035926	0.1258666309	0.05793678361	0
14	1.420750817	0.2035135365	0.5276367468	0.4356704318	0.1268377439	0.05694444444	0
15	1.414597494	0.2081467084	0.5280324401	0.4370506944	0.1285666555	0.06151506774	0
16	1.40922558	0.2093966537	0.528391747	0.4371415706	0.1314719797	0.06647895062	0
17	1.404675647	0.2168362008	0.5289237668	0.4373809524	0.1345547479	0.06854949273	0
18	1.400562957	0.2194357367	0.5293924308	0.4378159413	0.1395410269	0.07110138784	0
19	1.396498893	0.2236924229	0.5293773023	0.4382933379	0.1415853618	0.07535364527	0
20	1.393285848	0.2297101749	0.5296045234	0.4387485286	0.1416080468	0.0773878216	0
21	1.39019084	0.2320833162	0.5298141933	0.4389534884	0.1443603107	0.08114687585	0
22	1.387218243	0.2369035429	0.5303634609	0.4397954122	0.1460906024	0.0859795479	0
23	1.384345784	0.2387486727	0.5306821747	0.4398626607	0.1478817992	0.08809507822	0.0006307158625
24	1.381937517	0.2461015027	0.5307890216	0.4406765161	0.1471685761	0.09222133119	0.0006307158625
25	1.379794061	0.2484848485	0.531130446	0.4410591036	0.149106472	0.0976744186	0.0006307158625
26	1.377527299	0.2497682853	0.5312825481	0.4411093377	0.1525247267	0.1014464038	0.0006307158625
27	1.375519481	0.2520933977	0.5319363614	0.4411355078	0.1536015574	0.1070959264	0.0006307158625
28	1.373632285	0.2538816449	0.5319802204	0.44167398	0.1555447628	0.1097808309	0.0006307158625
29	1.371767564	0.255513308	0.5319493212	0.4419931337	0.155812223	0.1148991542	0.0006307158625
30	1.370117834	0.2588479668	0.5325648788	0.4427235258	0.1556289247	0.1158291131	0.0006307158625
31	1.36860941	0.2631955485	0.5326702471	0.4432782146	0.1576144835	0.1179898977	0.0006307158625
32	1.366978375	0.2648144473	0.5328710733	0.4441631578	0.160074723	0.1228611862	0.0006307158625
