iter	Passed	Remaining
0	78	117862
1	151	113429
2	225	112325
3	299	112042
4	370	110872
5	442	110111
6	513	109626
7	590	110081
8	659	109233
9	731	108975
10	807	109297
11	877	108785
12	947	108364
13	1014	107656
14	1079	106879
15	1146	106317
16	1214	105971
17	1281	105501
18	1341	104601
19	1412	104529
20	1474	103876
21	1535	103146
22	1602	102939
23	1652	101604
24	1712	101050
25	1771	100425
26	1826	99626
27	1880	98852
28	1935	98196
29	1994	97716
30	2059	97572
31	2112	96910
32	2172	96574
33	2229	96111
34	2283	95583
35	2355	95810
36	2421	95757
37	2477	95310
38	2538	95092
39	2607	95177
40	2667	94911
41	2728	94710
42	2785	94385
43	2847	94212
44	2910	94098
45	2973	93988
46	3037	93907
47	3087	93388
48	3147	93215
49	3208	93032
50	3274	93043
51	3334	92856
52	3394	92671
53	3456	92556
54	3513	92299
55	3584	92436
56	3651	92429
57	3708	92202
58	3765	91964
59	3832	91989
60	3895	91890
61	3950	91621
62	4009	91459
63	4068	91288
64	4119	90949
65	4183	90887
66	4240	90693
67	4305	90673
68	4369	90616
69	4422	90340
70	4470	89976
71	4527	89795
72	4579	89511
73	4639	89395
74	4693	89184
75	4751	89019
76	4810	88899
77	4870	88792
78	4935	88770
79	4985	88494
80	5043	88355
81	5090	88026
82	5138	87726
83	5200	87668
84	5252	87440
85	5301	87167
86	5356	86997
87	5414	86881
88	5465	86653
89	5520	86486
90	5572	86287
91	5628	86139
92	5677	85896
93	5730	85721
94	5779	85473
95	5840	85422
96	5888	85177
97	5934	84902
98	5989	84763
99	6039	84557
100	6095	84432
101	6152	84319
102	6205	84170
103	6274	84226
104	6326	84053
105	6381	83917
106	6436	83798
107	6489	83644
108	6539	83459
109	6595	83341
110	6651	83235
111	6699	83028
112	6748	82834
113	6796	82634
114	6847	82471
115	6896	82278
116	6951	82174
117	7015	82167
118	7065	81999
119	7118	81860
120	7165	81663
121	7209	81432
122	7256	81237
123	7304	81056
124	7352	80879
125	7402	80718
126	7458	80634
127	7511	80514
128	7555	80296
129	7610	80205
130	7663	80086
131	7713	79935
132	7766	79820
133	7823	79754
134	7878	79658
135	7936	79596
136	7989	79484
137	8039	79350
138	8100	79314
139	8147	79142
140	8197	79010
141	8248	78881
142	8293	78704
143	8349	78620
144	8406	78556
145	8453	78396
146	8508	78314
147	8553	78139
148	8603	78004
149	8655	77896
150	8702	77749
151	8752	77621
